title,author,isbn,category,total_copies,available_copies,language,pages
L'assurance d'atteindre vos buts autrement,Brigitte Lambert,978-0-538-33754-0,Fiction,1,2,Espagnol,57
La possibilité d'innover de manière efficace,Pénélope-Émilie Leclerc,978-0-483-55144-2,Programmation,4,7,Allemand,155
Le droit d'atteindre vos buts à la pointe,Jacques Brunel,978-1-4174-7669-5,Histoire,9,4,Italien,102
L'avantage de changer avant-tout,Arthur Le Legendre,978-1-334-90981-8,Roman,2,9,Espagnol,87
Le pouvoir d'avancer sans soucis,Benoît Renard,978-1-199-71379-7,Thriller,8,7,Allemand,210
La possibilité d'évoluer à la pointe,Jacqueline Duhamel,978-1-109-14786-5,Thriller,9,9,Anglais,475
Le confort de louer sans soucis,Zacharie Dos Santos,978-0-9505109-7-2,Programmation,7,8,Français,397
Le plaisir d'innover sans soucis,Virginie Jacquet,978-1-58027-083-0,Philosophie,3,2,Français,352
Le plaisir d'avancer plus rapidement,Michel Adam,978-1-75679-506-8,Fiction,5,9,Italien,779
Le pouvoir d'innover plus rapidement,David Nicolas-Peron,978-1-80718-069-0,Science-Fiction,1,9,Espagnol,247
Le confort d'évoluer plus rapidement,Robert Pons,978-1-169-99480-5,Programmation,1,10,Anglais,576
La possibilité de changer à l'état pur,Gabriel Ledoux Le Martineau,978-0-8404-0434-3,Fantasy,5,4,Allemand,686
Le pouvoir de rouler de manière sûre,Éric Ledoux-Samson,978-0-89400-512-1,Philosophie,1,5,Espagnol,183
Le confort de changer naturellement,Élisabeth Fabre,978-0-653-08711-5,Histoire,7,5,Français,404
L'art de rouler à sa source,Jeanne Pierre-Perrot,978-1-00-400341-9,Poésie,8,8,Allemand,382
Le droit d'innover de manière sûre,Louis Garnier-Da Silva,978-1-86414-633-2,Roman,2,10,Allemand,646
Le droit de louer de manière efficace,Lucy Martineau,978-0-03-588557-5,Histoire,2,3,Italien,479
Le pouvoir de changer à sa source,Alexandrie Guillot-Carpentier,978-0-588-45499-0,Poésie,8,5,Italien,699
Le droit d'atteindre vos buts de manière sûre,Michelle Lévêque,978-0-354-65332-9,Thriller,7,7,Italien,573
Le confort de louer à la pointe,Françoise Turpin,978-1-4452-6413-4,Biographie,9,9,Allemand,745
Le droit d'avancer à l'état pur,Jules Maillard,978-0-307-31099-6,Programmation,2,6,Allemand,358
L'art d'avancer de manière sûre,Lucy-Victoire Fontaine,978-1-63887-064-7,Science-Fiction,6,4,Anglais,516
L'assurance d'avancer à l'état pur,Gabrielle de la Bailly,978-1-4476-4098-1,Fiction,3,3,Espagnol,294
L'avantage de rouler en toute tranquilité,Laurent Bodin,978-1-4453-0884-5,Biographie,1,4,Allemand,323
Le confort d'avancer à sa source,Stéphanie Traore,978-1-71763-155-8,Roman,2,3,Anglais,120
L'assurance d'évoluer autrement,Gabrielle Gauthier,978-0-635-51913-9,Fiction,5,4,Espagnol,72
La possibilité d'innover à l'état pur,Adèle David,978-0-568-50179-9,Thriller,4,10,Allemand,271
Le confort de rouler de manière sûre,Margaux Pages de Maurice,978-1-5222-4302-1,Roman,9,7,Français,472
Le pouvoir de louer en toute tranquilité,Alain Faure,978-1-302-00691-4,Biographie,7,4,Espagnol,784
Le plaisir d'avancer autrement,Jean Lejeune-Descamps,978-0-239-65148-8,Fiction,8,7,Français,292
Le plaisir d'évoluer sans soucis,Noémi-Maggie Bonneau,978-0-504-88004-9,Fantasy,2,4,Français,654
Le pouvoir d'atteindre vos buts plus rapidement,René-Franck Lévêque,978-0-466-50227-0,Philosophie,4,5,Français,687
L'avantage de concrétiser vos projets plus rapidement,David Bourgeois-Faure,978-1-75589-268-3,Fiction,4,6,Espagnol,255
Le pouvoir d'innover sans soucis,Daniel Hoareau,978-0-699-66073-0,Roman,3,7,Espagnol,273
L'assurance d'innover à la pointe,Daniel Louis de la Le Goff,978-0-324-55757-2,Fantasy,3,5,Italien,403
Le confort de rouler à la pointe,Vincent Lebrun-Durand,978-0-11-815930-2,Biographie,3,5,Français,759
Le pouvoir de louer autrement,Gilles Evrard,978-0-01-705121-9,Roman,1,8,Français,616
La possibilité de louer à sa source,Pénélope-Alice Maury,978-1-117-32168-4,Biographie,2,1,Allemand,144
La liberté de rouler de manière efficace,Antoine Colin de la Picard,978-1-4328-0840-2,Programmation,4,10,Italien,160
La possibilité de changer de manière efficace,Paul Ferreira,978-1-342-54090-4,Fiction,7,3,Italien,300
Le plaisir d'atteindre vos buts plus rapidement,Jules Salmon,978-0-03-898664-4,Philosophie,5,2,Français,555
Le confort d'innover à sa source,Adèle-Pauline Chauvin,978-1-4069-3442-7,Biographie,2,9,Allemand,88
La possibilité de changer plus facilement,Virginie Le Goff,978-0-319-71325-9,Poésie,5,4,Allemand,364
L'avantage d'atteindre vos buts avant-tout,Stéphanie Pruvost,978-0-942387-44-5,Programmation,5,3,Français,276
Le pouvoir de concrétiser vos projets à l'état pur,Bernard Diallo,978-1-294-30392-3,Fantasy,9,4,Anglais,242
Le plaisir d'évoluer en toute tranquilité,Virginie Gillet,978-1-5098-1819-8,Poésie,3,2,Allemand,349
La liberté d'avancer naturellement,Étienne Laurent,978-1-09-665363-9,Programmation,4,4,Anglais,799
La possibilité d'atteindre vos buts sans soucis,Grégoire Jean,978-0-9515186-2-5,Fantasy,8,6,Allemand,463
L'art d'avancer à l'état pur,Renée Lévêque,978-1-4485-5484-3,Fantasy,9,6,Anglais,558
Le pouvoir d'évoluer naturellement,Frédérique Baron,978-1-147-64039-7,Histoire,5,8,Espagnol,677
La liberté d'atteindre vos buts naturellement,Élodie Seguin de Pires,978-0-8437-4710-2,Roman,2,3,Italien,387
La liberté de concrétiser vos projets sans soucis,Zacharie Joubert-Adam,978-1-4382-5695-5,Roman,7,5,Espagnol,753
La liberté de changer sans soucis,Émile Verdier,978-1-05-202838-9,Science-Fiction,4,8,Anglais,247
Le pouvoir de louer autrement,Grégoire Gaillard,978-1-75813-966-2,Philosophie,8,6,Français,119
Le plaisir de concrétiser vos projets plus rapidement,Isaac-Thibault Noël,978-1-4100-2063-5,Biographie,7,5,Allemand,671
L'art de rouler plus facilement,William Charpentier,978-0-9855577-0-6,Thriller,6,8,Italien,601
Le plaisir d'avancer naturellement,Simone Verdier,978-1-155-89930-5,Fiction,9,6,Italien,655
L'assurance de concrétiser vos projets autrement,Lucas Leduc,978-1-171-82256-1,Biographie,10,3,Allemand,463
L'assurance de concrétiser vos projets avant-tout,Mathilde Bourdon,978-1-5192-7321-5,Science-Fiction,5,6,Français,393
Le droit d'évoluer de manière efficace,Marcel Wagner,978-1-61857-994-2,Roman,1,8,Espagnol,791
Le confort de louer naturellement,Joséphine Marchand Le Bernier,978-0-9597966-3-6,Thriller,8,8,Italien,352
Le confort de changer autrement,Georges Paris,978-1-872627-06-9,Science-Fiction,8,10,Anglais,180
Le droit d'atteindre vos buts plus rapidement,Sabine Didier,978-0-907697-42-8,Roman,1,8,Anglais,748
L'art d'atteindre vos buts en toute tranquilité,Aimé Barbe,978-1-325-70061-5,Fantasy,10,2,Français,480
Le droit de changer à sa source,Anaïs Paul,978-0-87157-739-9,Fiction,8,6,Français,459
La possibilité d'évoluer plus rapidement,Emmanuelle Godard,978-0-8350-5362-4,Programmation,3,3,Italien,273
La liberté d'avancer autrement,Suzanne Renard,978-1-212-43722-8,Roman,1,3,Anglais,224
L'art d'évoluer plus facilement,Guillaume Roussel,978-1-146-81265-8,Poésie,1,3,Espagnol,404
La possibilité d'atteindre vos buts plus rapidement,Jeanne Nguyen,978-0-658-07929-0,Programmation,1,3,Français,127
Le plaisir de concrétiser vos projets de manière efficace,Marie de Pages,978-1-68861-977-7,Science-Fiction,3,9,Allemand,182
Le confort de concrétiser vos projets naturellement,Agathe Aubert-Dumas,978-1-4285-6681-1,Poésie,9,1,Espagnol,435
La possibilité de rouler autrement,Laurent Sauvage de Pinto,978-1-82701-289-6,Science-Fiction,6,3,Espagnol,379
Le confort d'avancer de manière efficace,Élise Chevallier,978-1-86084-922-0,Philosophie,2,10,Allemand,440
L'avantage d'évoluer en toute tranquilité,Marcel Weber,978-1-911203-24-7,Philosophie,6,1,Espagnol,341
La liberté de concrétiser vos projets à l'état pur,Claire Maillet,978-0-09-824229-2,Biographie,2,9,Italien,545
La possibilité de changer plus facilement,Laurent-Charles Delmas,978-0-8218-5781-6,Philosophie,7,10,Italien,322
Le pouvoir de changer en toute tranquilité,Hugues Cordier,978-1-78431-520-7,Science-Fiction,7,8,Anglais,348
L'assurance de changer de manière sûre,Théophile De Oliveira,978-1-172-61945-0,Science-Fiction,4,1,Français,312
L'assurance d'avancer autrement,Valentine Gilbert,978-1-177-50541-3,Biographie,8,7,Espagnol,714
L'avantage de concrétiser vos projets de manière efficace,Paul Chartier,978-1-4385-3885-3,Thriller,6,8,Allemand,342
Le droit d'avancer de manière sûre,Colette Pascal,978-1-80394-912-3,Science-Fiction,9,2,Espagnol,407
La possibilité de changer avant-tout,Agathe Lemaître,978-0-89930-534-9,Fiction,10,8,Anglais,704
L'avantage d'innover à la pointe,Alain Barbe,978-0-7155-8874-1,Fiction,8,6,Allemand,109
La possibilité de rouler à l'état pur,Richard Marion,978-1-82575-289-3,Roman,7,6,Espagnol,532
Le confort d'innover en toute tranquilité,Henri Brun,978-1-9775-9921-6,Biographie,9,3,Espagnol,170
L'avantage d'avancer avant-tout,Danielle Marie,978-0-915004-53-9,Programmation,9,9,Allemand,91
Le confort d'innover de manière sûre,Michelle du Bouvier,978-0-572-87437-7,Thriller,6,8,Allemand,355
L'avantage de concrétiser vos projets à la pointe,Benjamin Chartier,978-1-08-122506-3,Roman,8,4,Italien,609
L'art d'atteindre vos buts de manière efficace,Frédérique du Labbé,978-1-4200-3806-4,Histoire,5,5,Italien,747
La liberté de changer de manière sûre,Roger Garcia,978-1-85660-802-2,Roman,1,3,Français,553
L'art de louer à sa source,Alain Lévêque,978-1-898960-41-6,Thriller,8,1,Italien,676
Le pouvoir de concrétiser vos projets naturellement,Édith Fernandez,978-0-8192-6602-6,Science-Fiction,9,3,Allemand,509
Le droit d'innover à l'état pur,Xavier Martins,978-1-216-19883-5,Science-Fiction,4,2,Italien,60
Le confort de concrétiser vos projets à sa source,David Rolland de Fernandes,978-1-323-52711-5,Programmation,4,3,Allemand,554
La liberté de louer autrement,Arnaude Maréchal,978-0-554-97109-4,Poésie,7,10,Français,428
Le droit de rouler naturellement,Thérèse Traore,978-0-7635-1270-5,Biographie,1,3,Italien,792
La possibilité d'innover en toute tranquilité,Suzanne Jacob,978-0-7986-7898-8,Roman,10,5,Français,50
Le pouvoir d'innover sans soucis,Guillaume Hubert,978-0-437-13741-8,Roman,8,3,Espagnol,665
La liberté de louer autrement,Tristan Duval,978-1-08-077528-6,Philosophie,4,4,Allemand,574
L'avantage d'avancer plus facilement,Aurélie Bègue du Sauvage,978-1-102-29054-4,Programmation,5,7,Allemand,581
L'avantage de changer en toute tranquilité,Marguerite Samson,978-0-647-89744-7,Thriller,4,1,Français,689
Le pouvoir de changer plus facilement,Jacques Goncalves,978-0-13-804045-1,Philosophie,4,10,Français,784
La possibilité de changer plus facilement,Jacques Clerc,978-0-8384-7571-3,Fiction,6,5,Espagnol,494
L'art d'atteindre vos buts de manière efficace,Arnaude Guillaume de la Grondin,978-0-671-82999-5,Biographie,2,6,Italien,671
Le pouvoir de changer à sa source,Amélie-Alexandrie Bourgeois,978-0-9690635-9-9,Fiction,9,8,Italien,293
L'art d'innover à la pointe,Yves Gilbert,978-0-8431-9349-7,Biographie,3,8,Anglais,116
L'assurance de rouler à sa source,Dorothée Klein-Ferreira,978-0-396-14335-2,Fiction,9,9,Allemand,281
L'art de concrétiser vos projets de manière efficace,Michel Neveu,978-0-18-523781-1,Science-Fiction,1,10,Anglais,583
L'assurance d'avancer en toute tranquilité,Nathalie-Isabelle Mace,978-1-65904-604-5,Thriller,5,6,Allemand,465
Le plaisir de concrétiser vos projets plus rapidement,Joséphine Bernard-Rousset,978-0-259-01563-5,Science-Fiction,6,6,Français,562
La possibilité de concrétiser vos projets autrement,Roland Legendre,978-1-934620-80-9,Roman,6,5,Espagnol,497
La liberté d'atteindre vos buts plus rapidement,Isaac Caron,978-0-89311-656-9,Programmation,8,6,Espagnol,278
La liberté de rouler à sa source,Guillaume Mathieu,978-1-225-01404-1,Poésie,3,5,Français,741
Le plaisir de rouler en toute tranquilité,Alice-Michèle Paris,978-0-7396-4259-7,Histoire,2,9,Italien,276
Le pouvoir de louer avant-tout,Maryse de la Petitjean,978-0-8103-5541-5,Philosophie,5,2,Espagnol,528
L'art d'innover à l'état pur,Charles Bazin,978-0-377-12912-2,Fiction,2,5,Allemand,177
L'assurance d'avancer autrement,Eugène Aubert,978-0-579-72053-0,Thriller,4,2,Espagnol,715
Le plaisir de concrétiser vos projets plus facilement,Laurent de Clément,978-1-190-37759-2,Thriller,6,10,Espagnol,245
La possibilité de rouler à sa source,Capucine-Capucine Labbé,978-0-7074-1171-2,Philosophie,7,7,Anglais,254
Le confort de rouler naturellement,Adrienne Dias,978-1-4038-3523-9,Fantasy,8,1,Français,299
L'avantage d'atteindre vos buts naturellement,Suzanne Klein,978-0-934773-99-7,Programmation,6,7,Espagnol,347
Le confort de rouler plus rapidement,Olivier Guillet,978-0-9502848-0-4,Philosophie,2,2,Espagnol,462
L'assurance d'innover plus rapidement,Auguste Rey,978-1-80135-139-3,Fiction,3,8,Anglais,697
Le plaisir de louer de manière sûre,Victor Leblanc,978-0-948891-97-7,Biographie,7,9,Français,146
La liberté de rouler avant-tout,Simone Foucher,978-1-4153-6930-2,Thriller,1,4,Allemand,747
Le confort d'innover à la pointe,Françoise Fontaine-Mahe,978-1-883396-22-0,Thriller,2,8,Italien,349
Le droit d'avancer plus facilement,Maurice Launay,978-1-82851-765-9,Thriller,9,5,Anglais,705
Le pouvoir d'innover sans soucis,Susan-Mathilde Philippe,978-0-00-953085-2,Science-Fiction,6,6,Italien,345
Le confort de changer autrement,Tristan Gautier,978-1-923631-43-4,Programmation,7,7,Allemand,606
L'avantage de changer plus facilement,Antoine Leclercq,978-1-82813-761-1,Programmation,4,3,Français,237
L'assurance d'évoluer avant-tout,Juliette Andre-Bigot,978-0-02-192453-0,Philosophie,7,9,Allemand,745
Le plaisir de louer à sa source,Alain Millet,978-0-7366-2142-7,Science-Fiction,9,7,Allemand,475
L'assurance d'innover avant-tout,Frédéric Gautier,978-0-686-69107-5,Philosophie,3,1,Italien,163
L'art de louer à la pointe,Alexandre Jacquet-Hoarau,978-1-82892-966-7,Roman,4,6,Français,141
La possibilité de concrétiser vos projets sans soucis,Guy-Thibaut Aubert,978-0-937087-67-1,Philosophie,4,2,Italien,415
La possibilité d'avancer naturellement,Andrée Le Goff,978-1-82632-720-5,Poésie,9,3,Allemand,754
Le confort de concrétiser vos projets de manière efficace,Philippine Thomas,978-1-06-004387-9,Fiction,9,2,Italien,75
La possibilité de changer sans soucis,Susanne Huet,978-1-67615-316-0,Histoire,2,3,Espagnol,750
Le plaisir d'innover à la pointe,Arnaude Antoine,978-0-05-808382-8,Histoire,10,10,Français,726
L'art de concrétiser vos projets autrement,Juliette Leduc,978-1-01-768366-0,Biographie,6,3,Espagnol,113
Le droit d'évoluer de manière efficace,Monique Germain-Potier,978-0-9813944-0-4,Roman,6,1,Espagnol,669
Le plaisir d'atteindre vos buts de manière efficace,Philippine-Geneviève Marchal,978-0-617-30362-6,Biographie,5,6,Italien,86
L'avantage d'atteindre vos buts sans soucis,Matthieu Besson,978-0-904723-07-6,Biographie,10,7,Français,506
Le pouvoir d'évoluer naturellement,Dominique Besson,978-0-8193-2811-3,Programmation,7,9,Français,384
L'art d'innover plus facilement,Adrien Lamy,978-1-61776-436-3,Roman,4,4,Italien,230
L'art d'avancer de manière sûre,Émilie Hoareau Le Paris,978-0-353-45947-2,Fantasy,3,10,Allemand,683
Le pouvoir de rouler à sa source,Victor Fischer de Techer,978-1-336-40727-5,Histoire,3,8,Allemand,742
L'avantage d'atteindre vos buts avant-tout,Luce Clément,978-0-05-092628-4,Roman,5,7,Français,361
L'avantage d'évoluer plus facilement,Bertrand Michaud,978-0-923880-90-3,Roman,4,10,Italien,410
L'assurance de changer avant-tout,Laure Legrand de la Duhamel,978-1-04-336730-5,Histoire,10,10,Anglais,89
La possibilité de rouler en toute tranquilité,Christine Gimenez,978-1-79023-176-8,Histoire,8,10,Français,731
L'assurance d'atteindre vos buts autrement,Geneviève-Zoé Bertrand,978-0-02-946818-0,Fiction,9,6,Italien,348
L'art d'avancer autrement,Guillaume Vincent,978-1-5278-2320-4,Science-Fiction,3,1,Français,383
L'assurance d'avancer avant-tout,Cécile Le Nguyen,978-1-317-89222-9,Philosophie,6,3,Espagnol,67
La possibilité de rouler en toute tranquilité,Frédéric Le Chartier,978-0-02-757191-2,Philosophie,2,6,Espagnol,780
Le droit de louer sans soucis,Louis Baron,978-0-02-746110-7,Poésie,6,9,Anglais,487
L'avantage de louer à l'état pur,Alain du Vallet,978-1-83422-801-3,Fantasy,6,8,Anglais,734
L'assurance de changer sans soucis,Alphonse de Goncalves,978-0-551-68740-0,Fiction,7,1,Allemand,297
Le droit de louer sans soucis,Vincent Reynaud-Le Gall,978-0-477-71895-0,Thriller,7,10,Français,358
Le confort d'innover en toute tranquilité,Daniel Camus,978-0-692-70931-3,Fiction,8,10,Espagnol,99
Le plaisir d'évoluer avant-tout,Valérie Pichon,978-1-160-71171-5,Histoire,8,7,Espagnol,133
La liberté d'avancer autrement,Hortense Giraud-Carpentier,978-0-471-83672-8,Roman,8,2,Italien,231
Le plaisir d'avancer plus facilement,Valérie Bourgeois,978-0-265-41832-1,Biographie,8,10,Italien,121
Le confort d'innover à sa source,Véronique Loiseau,978-1-08-780247-3,Biographie,8,9,Français,571
Le plaisir d'innover à la pointe,Inès Adam,978-1-5102-0070-8,Histoire,7,7,Espagnol,562
La liberté d'innover de manière sûre,Raymond de Peron,978-0-17-865449-6,Thriller,8,9,Français,436
L'art d'avancer autrement,Jérôme Lamy,978-0-8216-9044-4,Fiction,6,8,Italien,226
L'assurance d'innover sans soucis,Brigitte Noël,978-1-107-33730-5,Programmation,1,1,Français,410
La possibilité d'innover plus rapidement,Adrien Lefèvre,978-0-600-65446-9,Fantasy,1,4,Espagnol,745
L'assurance de changer plus facilement,Manon-Colette Lecoq,978-0-08-857509-6,Philosophie,8,6,Espagnol,126
L'assurance de concrétiser vos projets sans soucis,Aimé Renaud,978-0-914392-68-2,Thriller,6,3,Anglais,607
Le confort d'évoluer plus facilement,Matthieu Bailly,978-0-9729490-6-4,Fiction,7,4,Français,262
Le pouvoir de rouler avant-tout,Thibault Meunier,978-0-89251-599-8,Histoire,8,6,Allemand,435
L'art de changer avant-tout,Gilbert de Pascal,978-1-107-04207-0,Poésie,10,9,Allemand,478
Le pouvoir d'innover plus facilement,Andrée Munoz,978-0-681-41545-4,Fantasy,3,6,Français,775
L'avantage d'évoluer à la pointe,Jeannine-Suzanne Olivier,978-0-390-30778-1,Histoire,9,1,Italien,293
Le pouvoir d'avancer de manière efficace,Étienne Leclercq du Launay,978-0-945852-19-3,Programmation,8,9,Allemand,433
Le plaisir d'évoluer autrement,Lucie Pruvost,978-0-01-353314-6,Roman,8,9,Italien,318
Le confort de louer sans soucis,Paulette Launay du Maillard,978-0-88553-152-3,Thriller,1,10,Allemand,300
La liberté d'évoluer naturellement,Alice Lopes,978-0-05-395384-3,Programmation,3,7,Espagnol,739
Le droit de rouler avant-tout,Frédérique Le Le Roux,978-1-960256-84-3,Thriller,10,3,Anglais,721
L'avantage d'atteindre vos buts naturellement,Céline Cousin,978-1-57442-997-8,Science-Fiction,7,9,Anglais,621
Le droit de louer naturellement,Thomas Bodin,978-1-304-76719-6,Thriller,7,3,Allemand,157
L'assurance d'innover de manière efficace,Jeanne Martineau,978-0-621-06315-8,Science-Fiction,8,5,Français,552
Le pouvoir d'innover à sa source,Patricia Delahaye,978-0-04-663047-8,Roman,4,7,Espagnol,188
Le confort d'atteindre vos buts plus facilement,Célina Raymond,978-1-127-74666-8,Thriller,5,1,Italien,335
La possibilité d'innover sans soucis,Patrick de Lesage,978-0-390-41699-5,Biographie,9,10,Anglais,403
Le plaisir d'innover à sa source,Julie Cordier,978-1-281-88469-5,Histoire,8,1,Italien,408
Le pouvoir de concrétiser vos projets à sa source,Susanne Vallée,978-1-09-718458-3,Philosophie,7,8,Français,341
Le droit d'atteindre vos buts à la pointe,Claudine Baudry,978-0-368-23270-1,Science-Fiction,1,10,Français,755
Le plaisir de changer à sa source,Valentine Lefèvre,978-0-561-72149-1,Philosophie,3,3,Espagnol,311
Le plaisir d'avancer de manière efficace,Alfred Fleury,978-1-944711-69-6,Fiction,3,9,Anglais,119
L'avantage de louer à l'état pur,Laurence Perrot,978-0-9867350-8-0,Biographie,5,4,Anglais,275
La possibilité de changer de manière efficace,Martin Peltier,978-1-03-094746-6,Fiction,3,1,Allemand,118
Le plaisir de concrétiser vos projets à l'état pur,Henriette Da Silva,978-0-949735-83-6,Roman,10,10,Italien,581
La liberté de louer plus rapidement,Arthur-Luc Charrier,978-1-112-40788-8,Histoire,4,10,Allemand,57
La liberté d'avancer de manière sûre,Anouk Legrand-Bourdon,978-1-01-159452-8,Poésie,7,4,Espagnol,504
Le droit de concrétiser vos projets à l'état pur,Jeanne Guyot,978-0-446-39041-5,Fiction,9,10,Italien,377
L'avantage d'atteindre vos buts à sa source,Xavier Duval de Thibault,978-0-646-03329-7,Programmation,4,6,Allemand,143
La possibilité d'évoluer plus facilement,Henriette Gérard-Bouvet,978-0-9793157-2-5,Philosophie,1,10,Anglais,369
Le confort de changer plus rapidement,Christine Valette-Vallée,978-0-576-25860-9,Fiction,3,8,Anglais,551
La possibilité d'atteindre vos buts plus rapidement,Michel Reynaud de la Devaux,978-1-261-30197-6,Fantasy,7,4,Anglais,736
La liberté de louer avant-tout,Catherine Jacquot,978-0-580-63779-7,Science-Fiction,1,4,Allemand,786
Le plaisir de changer naturellement,Thierry Rodriguez,978-0-330-50250-4,Thriller,3,4,Espagnol,147
Le droit de concrétiser vos projets plus rapidement,Noémi Monnier,978-1-76954-467-7,Science-Fiction,8,2,Français,213
L'art d'évoluer plus rapidement,Léon-Yves Fabre,978-1-392-25921-4,Thriller,9,3,Italien,327
Le pouvoir d'avancer à la pointe,Anaïs Clerc-Dubois,978-0-8140-0469-2,Biographie,6,3,Allemand,162
La liberté de concrétiser vos projets à sa source,Roger Monnier-Roy,978-0-16-701142-2,Histoire,3,8,Allemand,459
La liberté de rouler de manière efficace,Julien Fournier,978-1-55216-295-8,Poésie,4,7,Allemand,343
Le plaisir de rouler plus rapidement,Camille Normand-Denis,978-1-04-243145-8,Thriller,7,2,Espagnol,628
La possibilité d'avancer sans soucis,Adélaïde Boulanger,978-0-9763554-6-5,Biographie,5,1,Anglais,609
L'avantage de louer naturellement,Alexandria du Merle,978-0-7942-8234-9,Roman,1,6,Français,618
L'art de rouler à l'état pur,Agathe-Célina Ollivier,978-1-69562-933-2,Fantasy,10,4,Italien,64
Le pouvoir d'innover de manière efficace,Sophie Le Goff-Hoarau,978-0-358-65030-0,Fiction,9,5,Allemand,284
L'assurance de concrétiser vos projets plus facilement,Alexandrie Rémy,978-1-295-95975-4,Fantasy,4,7,Anglais,775
L'assurance de louer de manière sûre,Guy Carpentier,978-0-07-049708-5,Roman,3,9,Allemand,239
La liberté d'atteindre vos buts à l'état pur,Louis Le Leconte,978-1-940529-97-4,Fiction,4,6,Italien,102
Le confort de rouler à la pointe,Gilbert Allain,978-0-7499-9688-8,Histoire,10,2,Allemand,510
L'art d'avancer sans soucis,Élodie Merle,978-0-8086-5483-4,Fiction,8,2,Anglais,632
L'art d'atteindre vos buts à la pointe,Jeannine-Joséphine Bousquet,978-0-290-87002-6,Science-Fiction,8,5,Espagnol,426
La liberté de rouler plus rapidement,Maggie Descamps,978-1-4058-9210-0,Fantasy,6,6,Allemand,703
Le confort d'atteindre vos buts à la pointe,Honoré Philippe,978-0-907972-93-8,Histoire,1,3,Allemand,322
Le droit de changer à la pointe,Gérard Valette,978-0-515-27234-5,Roman,3,2,Anglais,339
Le droit d'avancer autrement,Claudine Bodin,978-0-87801-974-8,Fantasy,6,3,Italien,300
La liberté d'atteindre vos buts autrement,Théodore Meunier,978-1-07-729573-5,Fantasy,1,4,Allemand,293
L'avantage de changer autrement,Denis Bertin,978-0-340-05262-4,Programmation,9,8,Allemand,195
La possibilité de louer à l'état pur,Zoé Petit,978-1-384-16092-4,Philosophie,4,7,Espagnol,426
Le confort de rouler de manière efficace,Catherine Grégoire,978-0-263-90879-4,Fiction,1,4,Allemand,592
L'art d'avancer en toute tranquilité,Lucas Dupuy,978-1-333-09356-3,Philosophie,2,4,Italien,663
L'assurance de changer autrement,Gilbert Le Petitjean,978-1-76950-351-3,Roman,6,3,Français,247
L'assurance d'avancer plus facilement,Anastasie Hardy,978-0-505-97663-5,Fiction,9,7,Anglais,311
Le confort de rouler de manière sûre,Arnaude Nguyen,978-1-69804-600-6,Programmation,3,8,Anglais,111
L'assurance de rouler naturellement,Richard Collin,978-0-17-261845-6,Roman,2,5,Anglais,240
L'avantage d'innover plus rapidement,Guy Guilbert du Petit,978-1-01-132405-7,Biographie,10,3,Anglais,590
Le plaisir de concrétiser vos projets en toute tranquilité,Louis-Rémy Petitjean,978-1-61939-190-1,Histoire,5,4,Italien,534
L'art de changer sans soucis,Stéphane Schmitt,978-0-08-790982-3,Poésie,9,2,Italien,339
L'assurance de changer à sa source,Tristan Le Maillet,978-0-7164-1504-6,Histoire,2,6,Anglais,288
Le droit de changer à l'état pur,Agnès Fabre,978-0-378-07300-4,Philosophie,9,9,Français,716
Le droit de rouler naturellement,Michèle Arnaud,978-1-56025-574-1,Histoire,5,5,Anglais,774
La possibilité d'avancer à la pointe,Émile Masson,978-0-920148-35-8,Programmation,9,6,Allemand,454
Le pouvoir d'avancer en toute tranquilité,Frédérique Dupuis,978-1-86078-724-9,Histoire,7,8,Anglais,712
Le confort de concrétiser vos projets à l'état pur,Olivie Dos Santos,978-1-63996-504-5,Poésie,1,3,Français,240
Le droit de concrétiser vos projets sans soucis,Agathe Allard,978-1-4366-6537-7,Philosophie,9,4,Allemand,123
Le droit d'innover à sa source,Hélène Klein,978-1-75412-551-5,Programmation,7,1,Allemand,389
Le pouvoir d'avancer naturellement,Frédéric Germain Le Marques,978-1-78918-432-7,Poésie,7,8,Espagnol,135
La liberté de changer plus rapidement,Philippe-Marc De Sousa,978-0-558-27002-5,Thriller,5,10,Allemand,309
L'assurance de changer de manière efficace,Jacques Guichard du Valette,978-1-163-41136-0,Thriller,3,3,Allemand,592
La liberté de louer sans soucis,Alix Le Picard,978-0-338-01017-9,Roman,5,9,Français,218
La liberté d'évoluer naturellement,Marguerite Lebreton de Perrot,978-1-58542-453-5,Biographie,5,10,Espagnol,376
Le droit d'évoluer plus facilement,Mathilde Carre,978-0-615-92848-7,Thriller,6,1,Français,247
L'assurance de changer autrement,Marianne Texier de Alexandre,978-0-211-49002-9,Programmation,8,8,Espagnol,250
L'avantage de concrétiser vos projets naturellement,Margot-Pénélope Lecoq,978-0-88106-642-5,Roman,10,6,Espagnol,492
Le plaisir de changer sans soucis,Paulette Verdier,978-1-65084-543-2,Fantasy,2,1,Français,460
La possibilité de concrétiser vos projets autrement,Noël Le Pruvost,978-1-348-73083-5,Science-Fiction,3,8,Anglais,581
La possibilité d'évoluer de manière efficace,Élodie Lopes,978-0-317-13054-6,Science-Fiction,9,7,Espagnol,215
Le confort d'évoluer à la pointe,Gabriel Toussaint,978-0-15-442006-0,Philosophie,10,9,Français,398
La liberté de changer à sa source,Stéphanie de la Costa,978-1-83435-167-4,Biographie,5,10,Italien,195
